Time0

Waiting Clients:

(10,2,3)

(33,4,6)

(7,5,4)

(3,6,4)

(9,8,5)

(11,8,3)

(38,8,5)

(5,9,2)

(34,9,6)

(14,10,7)

(26,11,7)

(23,12,4)

(36,12,5)

(25,16,7)

(4,18,5)

(29,18,2)

(42,18,6)

(15,19,5)

(35,19,6)

(47,19,3)

(22,20,2)

(6,21,6)

(37,21,3)

(43,22,4)

(24,23,5)

(28,23,6)

(39,23,4)

(20,24,2)

(12,25,1)

(40,25,6)

(19,26,3)

(8,27,1)

(30,27,1)

(21,28,1)

(18,30,2)

(49,33,7)

(50,33,4)

(2,35,2)

(16,35,2)

(45,35,3)

(27,37,3)

(44,37,7)

(48,37,2)

(13,38,1)

(31,38,1)

(32,38,4)

(41,38,4)

(17,39,6)

(46,39,4)

(1,40,4)

Queue 1 empty

Queue 2 empty

Queue 3 empty

Queue 4 empty

Queue 5 empty

Time1

Waiting Clients:

(10,2,3)

(33,4,6)

(7,5,4)

(3,6,4)

(9,8,5)

(11,8,3)

(38,8,5)

(5,9,2)

(34,9,6)

(14,10,7)

(26,11,7)

(23,12,4)

(36,12,5)

(25,16,7)

(4,18,5)

(29,18,2)

(42,18,6)

(15,19,5)

(35,19,6)

(47,19,3)

(22,20,2)

(6,21,6)

(37,21,3)

(43,22,4)

(24,23,5)

(28,23,6)

(39,23,4)

(20,24,2)

(12,25,1)

(40,25,6)

(19,26,3)

(8,27,1)

(30,27,1)

(21,28,1)

(18,30,2)

(49,33,7)

(50,33,4)

(2,35,2)

(16,35,2)

(45,35,3)

(27,37,3)

(44,37,7)

(48,37,2)

(13,38,1)

(31,38,1)

(32,38,4)

(41,38,4)

(17,39,6)

(46,39,4)

(1,40,4)

Queue 1 empty

Queue 2 empty

Queue 3 empty

Queue 4 empty

Queue 5 empty

Time2

Waiting Clients:

(33,4,6)

(7,5,4)

(3,6,4)

(9,8,5)

(11,8,3)

(38,8,5)

(5,9,2)

(34,9,6)

(14,10,7)

(26,11,7)

(23,12,4)

(36,12,5)

(25,16,7)

(4,18,5)

(29,18,2)

(42,18,6)

(15,19,5)

(35,19,6)

(47,19,3)

(22,20,2)

(6,21,6)

(37,21,3)

(43,22,4)

(24,23,5)

(28,23,6)

(39,23,4)

(20,24,2)

(12,25,1)

(40,25,6)

(19,26,3)

(8,27,1)

(30,27,1)

(21,28,1)

(18,30,2)

(49,33,7)

(50,33,4)

(2,35,2)

(16,35,2)

(45,35,3)

(27,37,3)

(44,37,7)

(48,37,2)

(13,38,1)

(31,38,1)

(32,38,4)

(41,38,4)

(17,39,6)

(46,39,4)

(1,40,4)

Queue 1: 
(10,2,3)


Queue 2 empty

Queue 3 empty

Queue 4 empty

Queue 5 empty

Time3

Waiting Clients:

(33,4,6)

(7,5,4)

(3,6,4)

(9,8,5)

(11,8,3)

(38,8,5)

(5,9,2)

(34,9,6)

(14,10,7)

(26,11,7)

(23,12,4)

(36,12,5)

(25,16,7)

(4,18,5)

(29,18,2)

(42,18,6)

(15,19,5)

(35,19,6)

(47,19,3)

(22,20,2)

(6,21,6)

(37,21,3)

(43,22,4)

(24,23,5)

(28,23,6)

(39,23,4)

(20,24,2)

(12,25,1)

(40,25,6)

(19,26,3)

(8,27,1)

(30,27,1)

(21,28,1)

(18,30,2)

(49,33,7)

(50,33,4)

(2,35,2)

(16,35,2)

(45,35,3)

(27,37,3)

(44,37,7)

(48,37,2)

(13,38,1)

(31,38,1)

(32,38,4)

(41,38,4)

(17,39,6)

(46,39,4)

(1,40,4)

Queue 1: 
(10,2,2)


Queue 2 empty

Queue 3 empty

Queue 4 empty

Queue 5 empty

Time4

Waiting Clients:

(7,5,4)

(3,6,4)

(9,8,5)

(11,8,3)

(38,8,5)

(5,9,2)

(34,9,6)

